prices,product_id,product_description,color,department,sub_department,product_type
299.00,452943384,"Long sleeve jacket with a lapel collar and shoulder tabs. Featuring front pockets with metal zips, a belt in the same material with a metal buckle and a zip-up front.",Black,WOMAN,,
199.00,459570534,Patent-effect loafer-style shoes. High vamp. Square pointed toe. Sole height: 2 cm / 0.7″,Black,WOMAN,,
269.00,452701143,"HIGH-WAIST - WIDE LEG - FULL LENGTH High-waist, five-pocket jeans. Extra-long wide leg. Asymmetric front fastening with zip and metal buttons.",Light blue,WOMAN,,
219.00,452741146,"LOW-RISE - WIDE LEG - FULL LENGTH Low-rise, five-pocket jeans. Extra-long wide leg. Front zip and metal button fastening.",Black,WOMAN,,
119.00,463033494,T-shirt with a draped neckline and short sleeves. Features a contrasting inner fabric detail creating a layered T-shirt effect.,Grey marl,WOMAN,,
129.00,470157677,T-shirt with a round neck and short sleeves. Featuring a tonal chunky knit corset detail.,Grey marl,WOMAN,,
219.00,452728673,LOW-RISE - FLARE Low-rise jeans with belt loops and five pockets. Flared hems. Zip fly and metal button fastening.,Light blue,WOMAN,,
189.00,452722658,HIGH-WAIST - REGULAR LENGTH  High-waist jeans with belt loops and five pockets. Front zip and metal button fastening.,Blue,WOMAN,,
119.00,467612489,T-shirt with an asymmetric neckline and short sleeve. Featuring contrasting blended fabric detail creating a double T-shirt effect.,Grey marl,WOMAN,,
269.00,452694925,HIGH-WAIST - BARREL High-waist jeans with belt loops and five pockets. Front zip and metal button fastening.,Navy blue,WOMAN,,
59.00,452730714,Cotton blend T-shirt. Round neck and very short sleeves. Ribbed trims.,White,WOMAN,,
129.00,470491551,"Round neck, long sleeve T-shirt. Matching bolero detail.",Dark grey marl,WOMAN,,
299.00,454390046,Bomber jacket with a lapel collar and long sleeves with inner elasticated cuffs. Front welt pockets. Elasticated hem. Metal zip-up fastening on the front.,Chocolate,WOMAN,,
189.00,463722360,Crop shirt with a polo collar and v-neck. Wide short sleeves.,Dark indigo,WOMAN,,
499.00,452709109,Leather ankle boots. Wide low-cut upper. Easy pull-on fastening. Thin curved heel. Pointed toe. Heel height: 6.5 cm / 2.5″,Green,WOMAN,,
269.00,454389842,HIGH-WAIST - REGULAR LENGTH High-waist jeans with belt loops and five pockets. Front zip and metal button fastening.,Dark indigo,WOMAN,,
219.00,452731159,"LOW-RISE - WIDE LEG - FULL LENGTH Low-rise, five-pocket jeans. Extra-long wide leg. Front zip and metal button fastening.",Brown,WOMAN,,
249.00,456201219,Cowboy style ankle boots. Low-cut leg. Topstitching detail on the front. Curved block heel. Side zip fastening with pull tab. Pointed toe. Sole height: 9 cm / 3.5″,Black,WOMAN,,
169.00,463889235,"V-neck, long sleeve top with elasticated ruffle cuffs. Featuring ruffles on the front in the same fabric and an asymmetric hem.",Olive green,WOMAN,,
189.00,470215151,"Mid-waist trousers with an elasticated drawstring waist. Concealed side seam pockets. Elasticated, blouson hem.",Greens,WOMAN,,
189.00,470214710,"V-neck, long sleeve top. Featuring gathered detail. Elasticated hem. Front tie fastening.",Greens,WOMAN,,
299.00,457292456,V-neck waistcoat with a sleeveless design. Features embroidered detailing with bead appliqué. Front tie fastening.,Black,WOMAN,,
169.00,468879633,Flowing round neck top with adjustable tie fastening at the back. Long sleeves with elasticated cuffs and ruffle trim. Asymmetric hem with ruffle in the same fabric.,Black,WOMAN,,
169.00,468880697,Adjustable halter neck top with tie fastening on the back. Long sleeves with elasticated cuffs. Shoulder cut-out detail and matching fabric ruffle detail.,Terracotta,WOMAN,,
299.00,470215049,"Long dress featuring a round neck and adjustable V-neck with ties, long sleeves with cuffs, draped fabric detail, a straight hem and front button fastening.",Dark brown,WOMAN,,
189.00,470214670,Long dress with a round neck and sleeveless design. Hem finished with godets. Matching inner lining.,Dark green,WOMAN,,
269.00,457150878,Loose-fitting wool vest. Featuring a round neck and armholes. Ribbed trims.,Grey,WOMAN,,
169.00,466264659,V-neck long sleeve sweater. Ribbed trims.,Brown,WOMAN,,
219.00,452724824,Cardigan made in 100% wool. Featuring a V-neck and short sleeves. Front button fastening.,Navy blue,WOMAN,,
349.00,452718938,Jacket made of 100% wool. V-neck and long sleeves. Front patch pockets. Gold-tone button fastening at the front.,Dark grey,WOMAN,,
169.00,466264890,Boat neck sweater with long sleeves. Ribbed trims.,Grey,WOMAN,,
179.00,435873569,Sweater with a round neckline and long sleeve.,Green,WOMAN,,
599.00,455429683,Split suede ankle boots. Distressed effect. Topstitch detail on the top. Track sole. Mid-height shaft. Round toe.  Sole height: 5 cm,Brown,WOMAN,,
169.00,465189640,V-neck top with sleeveless design. Front button fastening.,camel,WOMAN,,
749.00,453992634,Fine knit sweater made of 100% cashmere. Featuring a round neck and long sleeve.,Grey,WOMAN,,
