prices,product id,product description,color,pdp_url,department,sub department,product type
149.00,454334172,Sweatshirt made of a modal blend fabric that gives a soft feel to the garment. Features a round neck and long sleeves. Available in several colours.,"Brown,Black,Vanilla,Pink",https://www.stradivarius.com/ae/basic-softtouch-sweatshirt-l06504411,,,
189.00,454334165,"Relaxed fit mid-rise smart trousers with an elasticated waistband at the back and belt loops. Featuring front pockets, front darts, a straight, loose-fitting leg and metal hook, inside button and zip fastening at the front.",Dark grey,https://www.stradivarius.com/ae/wideleg-formal-wear-trousers-l04591818,,,
899.00,454334150,Oversize jacket made of 100% leather. Featuring a lapel collar and long sleeves with buttoned cuffs. Shoulder tabs and draped fabric on the sleeves. Side welt pockets. Elastic hem. Metal zip fastening at the front. Available in several colours.,Black,https://www.stradivarius.com/ae/100-leather-oversize-jacket-l05704816,,,
169.00,454334148,"Soft-touch hoodie in a modal blend. Features an adjustable hood with matching drawstrings, long sleeves, front pockets and metal zip front fastening. Available in several colours.","Stone,Black,Brown,0-526",https://www.stradivarius.com/ae/softtouch-sweatshirt-with-zip-l06503410,,,
269.00,454334141,Bomber jacket with a buttoned high neck and long cuffed sleeves. Side flap pockets and an elastic hem. Two-way metal zip fastening at the front.,Stone,https://www.stradivarius.com/ae/loosefitting-bomber-jacket-l05788363,,,
65.00,454334140,Available in several colours.,"Black,Brown",https://www.stradivarius.com/ae/purse-with-zip-l03723901,,,
75.00,454334136,Available in several colours.,"Black,Brown",https://www.stradivarius.com/ae/zip-card-holder-l03724901,,,
129.00,454334121,"Fitted sleeveless top made of textured stretch fabric, featuring a round neck, fitted waist, loose ruffled hem and side in-seam zip fastening.",Navy blue,https://www.stradivarius.com/ae/striped-sleeveless-peplum-top-l06047812,,,
129.00,454334120,"Fitted sleeveless top made of textured stretch fabric, featuring a round neck, fitted waist, loose ruffled hem and side in-seam zip fastening.",Purple,https://www.stradivarius.com/ae/striped-sleeveless-peplum-top-l06047283,,,
899.00,454334100,Oversize jacket made of 100% leather. Lapel collar and long sleeves with buttoned cuffs. Tabs on the shoulders and draped fabric on the sleeves. Side welt pockets. Elasticated hem. Metal zip-up front.,Brown,https://www.stradivarius.com/ae/oversize-leather-jacket-l05704808,,,
149.00,454334065,"Mid-rise straight-leg trousers with an elasticated waistband, side pockets, back patch pockets and contrast piping on the sides.",Grey melange,https://www.stradivarius.com/ae/wideleg-plush-trousers-with-trim-detail-l08305100,,,
129.00,454334059,"Fitted sleeveless top made of textured stretch fabric. Featuring a round neck, a fitted waist and a flowing ruffled hem.",Black,https://www.stradivarius.com/ae/sleeveless-peplum-top-l06047811,,,
129.00,454334047,,Black,https://www.stradivarius.com/ae/crossbody-bag-with-belt-detail-l03632901,,,
399.00,454116628,Short shearling lined jacket made of leather effect fabric. Lapel collar and long sleeves with adjustable metal buckle tabs. Faux fur soft-touch fabric lining and trims. Front zip pockets. Front metal zip fastening hidden by a snap-button placket.,Brown,https://www.stradivarius.com/ae/doublefaced-faux-leather-jacket-l05753369,,,
