prices,product id,product description,color,department,sub department,product type
189.00,470763275,Midi dress made of a viscose blend. Round neckline and wide straps. Fitted silhouette with draped fabric on the sides. Side slit at the hem.,Grey melange,,,
219.00,470762746,"Women’s slingback heels. Leopard animal print. Buckle fastening. Heel height: 8,5 cm",COMBINED,,,
369.00,470763265,"Long leather effect trench coat featuring a lapel collar, long sleeves with tabs, side welt pockets, a detachable belt in the same fabric and a double-breasted button-up front.",Burgundy,,,
369.00,470762763,"Long leather effect trench coat featuring a lapel collar, long sleeves with tabs, side welt pockets, a detachable belt in the same fabric and a double-breasted button-up front.",Burgundy,,,
149.00,470762831,Fitted shirt featuring a Johnny collar and long cuffed sleeves. Available in assorted colours.,Purple,,,
219.00,470763286,"Mid-waist smart trousers with belt loops. Side pockets and false back welt pockets. Maxi darts on the front. Wide and straight-leg design. Detachable contrast belt with metal buckle. Front metal hook, inside button and zip fastening. Available in several colours.",Brown,,,
299.00,470762765,Short jacket made of leather effect fabric. Lapel collar and long sleeves with elastic cuffs. Chest patch pockets with buttoned flaps and contrast ribbed knit trims. Front metal zip fastening.,Brown,,,
219.00,470762756,"Casual smart mid-waist trousers made of a modal blend fabric for a very soft feel. Belt loops, side pockets and front darts. Straight, loose-fitting leg. Front metal hook, inside button and zip fastening. Available in several colours.",Black,,,
169.00,470763279,Sweatshirt made of a modal blend fabric for a very soft feel. Johnny collar and long sleeves with elastic cuffs. Available in several colours.,Brown,,,
169.00,470763274,Sweatshirt made of a modal blend fabric for a very soft feel. Johnny collar and long sleeves with elastic cuffs. Available in several colours.,Brown,,,
119.00,470114034,Fitted sleeveless top made of printed tulle fabric with lining. Featuring an asymmetric neckline and gathered fabric detail.,Purple,,,
199.00,469968229,"High-waist wide-leg jeans with front pockets. Back patch pockets. Belt loops. Straight, wide-leg design. Front zip fly and metal button fastening. Available in several colours.",Burgundy,,,
299.00,469968176,"Blazer made of faux suede fabric. Lapel collar and long sleeves. False flap pockets on the front. Real model, video generated by AI.",Pale camel,,,
189.00,470113988,,COMBINED,,,
169.00,470114030,Mid-rise midi skirt made of printed tulle fabric with lining and an elasticated waistband.,Purple,,,
59.00,470114079,Fitted halterneck crop top with a round neckline. Available in several colours.,AUBERGINE,,,
189.00,470114072,Knit cardigan with a round neck and long sleeves. Ruffle trims. Button-up front. Available in assorted colours.,AUBERGINE,,,
189.00,469968125,,BURGUNDY ,,,
189.00,470114074,Fitted sleeveless tulle midi dress with lining. Featuring a round neck and gathered fabric detail on the sides.,Purple,,,
499.00,470113987,Split leather knee-high cowboy boots. Stitched detail on the leg. Available in beige. Heel height 4 cm.,BEIGE,,,
75.00,469968179,,Ecru,,,
219.00,470114033,Mid-waist denim mini skort with belt loops. Front pockets and back patch pockets. Rhinestone appliqués on the front and zip fly and metal top button fastening.,MEDIUM BLUE DENIM,,,
169.00,469968239,Mid-waist denim mini skort with belt loops. Front pockets and back patch pockets. Front zip fly and metal button fastening. Available in several colours.,Khaki,,,
269.00,470114073,"Oversize, regular length blazer with a straight fit. Lapel collar and long sleeves with buttoned cuffs. False flap pockets on the front. Button-up front. Available in several colours.",Black,,,
129.00,469968198,,Pastel pink,,,
269.00,470114032,Available in several colours.,Caramel,,,
199.00,469968227,"Low-rise wide-leg jeans with belt loops. Featuring front pockets, back patch pockets, a straight-leg design and front zip and metal button fastening. Available in assorted colours.",OVERDYED BLUE DENIM,,,
119.00,469968178,Fitted sleeveless top made of lace with lining. Featuring an asymmetric neckline and gathered fabric detail. Available in several colours.,Vanilla,,,
189.00,470114077,Mid-rise skirt made of semi-sheer elasticated lace fabric with lining. Featuring an elasticated waistband and a flowing hem. Available in several colours.,Black,,,
59.00,469968180,,Fuchsia,,,
189.00,470763263,"Flowing high-waist trousers with belt loops. Featuring front pockets, false welt pockets at the back, a straight-leg design, a removable belt with metal buckle and metal hook, inside button and zip fastening at the front. Available in assorted colours.",Brown,,,
149.00,470762759,"Fitted ribbed knit cardigan with a stretch texture that adapts to the silhouette. Featuring an integrated hood, long sleeves and two-way metal zip fastening at the front for opening from both ends. Available in assorted colours.",Dark grey,,,
189.00,470114078,"Loose-fitting high-waist trousers with an adjustable waistband with buttoned tabs. Featuring front darts, side pockets, false welt pockets at the back, a very wide-leg design and metal hook, inside button and zip fastening at the front. Available in assorted colours.",Burgundy,,,
59.00,469968233,65 x 65 cm,Brown,,,
799.00,469968218,"Collared jacket made of 100% leather. Featuring long sleeves, front patch pockets and contrast button fastening at the front.",Brown,,,
299.00,467511996,Puffer jacket with a high neck and long sleeves. Front pockets. Adjustable drawstring hem. Zip-up front hidden by a snap-button placket. Available in several colours.,Pale camel,,,
