unique_id,product_name,brand,product_description,selling_price,currency,pdp_url,color
T111210M,The Ultimate Regular Fit Non Iron Cotton Shirt,M&S Collection,"Introducing The Ultimate Shirt, crafted from pure cotton fabric for smart, comfortable wear. It's designed in a regular fit, with a classic collar and single cuffs. Our new and improved non-iron finish means it needs no ironing after washing or tumble drying, while taped seams make it extra durable. 
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",40.00,£,https://www.marksandspencer.com/the-ultimate-regular-fit-non-iron-cotton-shirt/p/clp60736022?color=WHITE#intid=pid_pg2pip48g4r9c4%7Cprodflag_New%7Cprodflag_plp_ts_QP_40,White
T112169X,Regular Fit Cotton Blend Shirt,M&S Collection,"Stay smart all day long in this crisp cotton-blend shirt. It's cut to a regular fit with a classic collar and single cuffs for a timeless look. The easy-iron finish means it needs no more than a quick press.
M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",20.00,£,https://www.marksandspencer.com/regular-fit-cotton-blend-shirt/p/clp60740999?color=MIDBLUE#intid=pid_pg2pip48g4r9c3%7Cprodflag_New%7Cprodflag_plp_ts_QP_78,Mid Blue
T303000A,Pure Extra Fine Merino Wool Jumper,Autograph,"This extra-fine merino wool jumper from our Autograph collection is a luxurious addition to your knitwear collection. It's made with Merino Perform technology to keep you feeling cool and dry all day. A crew neck gives it a laid-back look, while the ribbed trims add a neat finish. 
 
 Autograph: premium investment pieces featuring contemporary cuts and refined finishing touches.",40.00,£,https://www.marksandspencer.com/pure-extra-fine-merino-wool-jumper/p/clp60744504?color=DARKNAVY#intid=pid_pg2pip48g4r9c2%7Cprodflag_New%7Cprodflag_plp_ts_CBS_2,Dark Navy
T284142M,Pure Cotton Graphic T-Shirt,M&S Collection,,18.00,£,https://www.marksandspencer.com/pure-cotton-graphic-t-shirt/p/clp60749507#intid=pid_pg2pip48g4r9c1%7Cprodflag_New,White
T111103S,The Ultimate Slim Fit Pure Cotton Non Iron Textured Shirt,M&S Collection,,40.00,£,https://www.marksandspencer.com/the-ultimate-non-iron-textured-shirt/p/clp60735968?color=BLUE#intid=pid_pg2pip48g4r8c4%7Cprodflag_New%7Cprodflag_plp_ts_QP_46,Blue
T303023M,Pure Cotton V-Neck Jumper,M&S Collection,"Crafted from soft and breathable pure cotton, this smart jumper is the perfect lightweight layer for cooler weather. V-neck for versatile outfit styling. Snug ribbed cuffs and hem.
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",25.00,£,https://www.marksandspencer.com/pure-cotton-v-neck-jumper/p/clp60749002?color=DARKBURGUNDY#intid=pid_pg2pip48g4r8c3%7Cprodflag_New,Dark Burgundy
T303027M,Cotton Blend Knitted Jacket,M&S Collection,"This elegant fine rib knit jacket made from soft cotton-blend fabric is perfect for layering up when the weather cools down. Sharp collar. Smart five button fastening.
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",40.00,£,https://www.marksandspencer.com/cotton-blend-knitted-jacket/p/clp60749094?color=PEWTER#intid=pid_pg2pip48g4r8c2%7Cprodflag_New,Pewter
T165019M,Shirt Collar Mac with Removable Bib,M&S Collection,"This on-trend mac with a sharp shirt collar is a versatile choice for changeable weather. It's cut to a comfy regular fit and lightly padded and smoothly lined for a luxuriously comfortable feel. The removable bib and warm funnel neck offer two quick-change styling choices . Two external slip pockets keep your essentials easily accessible, while the internal pocket keeps valuables safely stored. The concealed fastening helps protect you from the elements.
 
 M&S Collection: easy-to-wear wardrobe staples that combine classic and contemporary styles.",99.00,£,https://www.marksandspencer.com/shirt-collar-mac-with-removable-bib/p/clp60743692#intid=pid_pg2pip48g4r8c1%7Cprodflag_New,Mole
T199574A,Dandelion Print Shirt,White Stuff,,55.00,£,https://www.marksandspencer.com/dandelion-print-shirt/p/clp23041868#intid=pid_pg2pip48g4r7c4%7Cprodflag_New,Pink
T199581A,Bike Print Shirt,White Stuff,,55.00,£,https://www.marksandspencer.com/bike-print-shirt/p/clp23041866#intid=pid_pg2pip48g4r7c3%7Cprodflag_New,White Mix
