unique_id,product_name,grammage_quantity,grammage_unit,regular_price,selling_price,product_description,promotion_valid_upto,image_url,instock,netcontent
8500001774,"Apothic Red Blend Red Wine, 750ml",750,ml,14.99,9.99,"Apothic Red is the bold and intriguing red blend that launched the Apothic legacy, featuring a mix of merlot, cabernet sauvignon, syrah, and zinfandel wine grapes. This California wine indulges the senses with notes of black cherry, vanilla and mocha and a character all its own. This smooth and rich red blend is medium bodied and pairs with wherever the night may take you. Apothic Red is best enjoyed with plenty of wine glasses to share.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0085/00/0017/74/0085000017746_1_A1C1_0200.jpg,inStock,
86000532398,MOM WATER RTD VARIETY 8 PK/12 OZ CAN,12,OZ,20.99,17.99,"Meet The Mom Squad. Mom Water is a fruit infused vodka water. That's right - no carbonation. No sugar, carbs, or artificial flavors or preservatives!",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0860/00/5323/98/0860005323982_0_A1C1_0200.png,inStock,8 Pack CAN
8218420687,Jack Daniels & Coca Cola 4PK/355 ML Can,355,ML,15.99,13.99,"Enjoy the real taste of Jack Daniel&#x1A;s® Tennessee Whiskey &amp; Coca-Cola® in a convenient, ready-to-drink format! This famous cocktail is featuring two of the world&#x1A;s most recognizable and valuable trademarks in Coca-Cola and Jack Daniel&#x1A;s! Best served cold straight from the can or over ice, and always in good company.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0082/18/4206/87/0082184206874_0_A1C1_0200.png,inStock,4 Pack CAN
8200079623,"Crown Royal Washington Apple Canadian Whisky Cocktail, 4-PACK (4 x 12 fl oz)",12,fl,12.99,9.99,"Enjoy a royally delicious cocktail in a ready-to-drink can with Crown Royal Washington Apple Canadian Whisky Cocktail. Featuring the signature smoothness of traditional Crown Royal Whisky combined with the sweet-tart flavor of Washington green apples, this 14 proof cocktail offers an effortlessly delicious way to relax or celebrate. For a refreshing tasting cocktail, simply pour in a glass with ice and garnish with an apple slice. Includes four 14 proof 12 fl oz cans of Washington Apple Canadian Whisky Cocktail. Please drink responsibly.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0008/20/0079/62/0008200079623_0_A1C1_0200.png,inStock,4 Pack CAN
8500002045,"Barefoot Cellars Pink Moscato Wine, 750ml",750,ml,9.99,6.5,"Barefoot Pink Moscato Sweet Pink Wine delivers fruity notes of juicy cherry, tart raspberry and sweet pomegranate in a convenient 750 mL screw top bottle. This Barefoot Pink Moscato offers all the flavors of a traditional Moscato with layers of vibrant red fruit. With aromas of mandarin orange and sweet jasmine, this Barefoot Pink Moscato pairs perfectly with spicy appetizers or fresh strawberries. Barefoot Pink Moscato is best served chilled at poolside parties or beach barbecues. The screw top bottle is ideal for easy opening and secure storage. This California Pink Moscato comes from Barefoot, the most awarded wine brand in US competitions. Let's get Barefoot.",['2025-07-05'],https://www.meijer.com/content/dam/meijer/product/0008/50/0002/04/0008500002045_1_A1C1_0200.png,inStock,
8769200378,"Twisted Tea Variety Party Pack, Hard Iced Tea, 12 fl. oz. Can, 12pk",12,fl,20.99,16.99,"This summer's Twisted Tea Party Pack includes three of your favorite flavors plus one limited release! Don't miss out on these refreshingly smooth, real brewed hard iced tea styles: Original, Half &amp; Half, Peach and Rocket Pop. Limited release Rocket Pop is a fusion of Cherry, Lemon-lime, and Blue Razz flavors. This pack is the perfect companion to a day in the sun at the beach, golf course or tailgate &#x1A; there&#x1A;s a flavor for everyone! Keep it Twisted. 5% ABV. No carbonation. Variety 12 pack, 12 fluid ounce cans.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0087/69/2003/78/0087692003786_1_A1C1_0200.jpg,inStock,12 Pack CAN
8043280290,"Seagram's Escapes Variety Pack, 11.2 oz, 12 pk, bottles",12,oz,18.99,14.99,A Tropical selection of the following flavors Jamaican Me Happy; Calypso Colada; Strawberry Daiquiri; Lime Margarita.,['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0008/04/3280/29/0008043280290_2_A1C1_0200.png,inStock,12 Pack BOTTLE
8200079110,"Smirnoff Ice Red, White, & Berry, 12pk 12oz Cans, 4.5% ABV",4.5,oz,19.99,16.99,"Let&#x1A;s get this party started with Smirnoff Ice Red, White &amp; Berry. This beverage is infused with cherry, citrus and blue raspberry flavors and will be a hit all summer long. Meet the icy, cold, ready to drink Smirnoff Ice. Our Smirnoff Ice is famous for its taste and flavor. When you&#x1A;ve got no time to mix, shake or stir, opt for a Smirnoff Ice &#x1A; all you have to do is remove the cap and sip away.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0082/00/0791/10/0082000791102_4_A1C1_0200.jpg,inStock,12 Pack CAN
63598580026,"White Claw Variety #3 Slim Cans, 12 Pack",12,,20.99,16.99,White Claw Variety #3 12-pack cans.,['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0635/98/5800/26/0635985800262_0_A1C1_0200.png,inStock,12 Pack CAN
63598512998,"Mike's Hard Lemonade Party Pack, 11.2 oz, 12 pk",12,oz,19.99,16.99,"From the beach to the boat to the backyard BBQ, it’s ALWAYS a good time for a refreshing Mike’s. Mike is passionate about making the best-tasting, most refreshing beverages to give you COLD.HARD.REFRESHMENT anywhere, anytime. Four of Mike’s most popular flavors are now in one variety pack including mike’s NEW blood orange. Mike’s Hard Lemonade® is the original hard lemonade many brands have tried to copy it, but no one can equal its refreshing flavor and taste. It is tart up front and perfectly sweet and refreshing on the finish black cherry lemonade is not too sweet, just incredibly refreshing strawberry lemonade is an ideal blend of fresh strawberries with our refreshing lemonade.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0635/98/5129/98/0635985129981_0_A1C1_0200.png,inStock,12 Pack BOTTLE
8500002901,BAREFOOT CELLARS STRAWBERRY FRUITSCATO 750 ML,750,ML,9.99,6.5,"Barefoot Strawberry Fruitscato is a delightfully sweet wine with natural flavors of juicy, ripe strawberries. This bottle comes with a easy-to-open screw cap, so no wine opener is needed. Best served chilled!",['2025-07-05'],https://www.meijer.com/content/dam/meijer/product/0008/50/0002/90/0008500002901_1_A1C1_0200.png,inStock,
89127800325,MONACO VARIETY PACK 6 PK/12O,12,,17.99,15.99,MONACO VARIETY PACK 6 PK/12O,['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0089/12/7800/32/0089127800325_0_A1C1_0200.png,inStock,6 Pack CAN
1820011168,"Budweiser American Lager Beer 24 Pack, 12 fl oz Cans",12,fl,25.99,18.49,"Budweiser beer is a medium-bodied, American-style lager beer. Brewed with high quality barley malt, a blend of premium hop varieties, fresh rice and filtered water, this American beer is crisp and full of flavor. Budweiser beer has 5% ABV and contains 145 calories and zero grams of fat per serving. Every occasion calls for a Budweiser; enjoy a cold beer while watching the game or grab a pack when your barbecues or social gatherings need refreshing drinks. This lager beer is the perfect companion to pizza, burgers and fried chicken, but don't let the pairings stop there. The cans and package make this beer easy to transport wherever Budweiser is needed.",['2025-05-31'],https://www.meijer.com/content/dam/meijer/product/0018/20/0111/68/0018200111686_1_A1C1_0200.jpg,inStock,24 Pack CAN
