unique_id,product_name,regular_price,selling_price,percentage_discount,breadcrumb,pdp_url,uom
160341,Zott Jogobella Light zsírszegény joghurt cukorral és édesítőszerrel 150 g,157.00,157.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Light gyümölcsjoghurtok>Zott Jogobella Light zsírszegény joghurt cukorral és édesítőszerrel 150 g",https://auchan.hu/shop/zott-jogobella-light-zsírszegény-joghurt-cukorral-és-édesítőszerrel-150-g.p-160341,g
273379,Zott Jogobella élőflórás joghurt hozzáadott cukor nélkül 150 g,160.00,160.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Light gyümölcsjoghurtok>Zott Jogobella élőflórás joghurt hozzáadott cukor nélkül 150 g",https://auchan.hu/shop/zott-jogobella-élőflórás-joghurt-hozzáadott-cukor-nélkül-150-g.p-273379,g
763970,"Danone YoPro banános sovány joghurt földimogyoró aromával, édesítőszerekkel 160 g",317.00,317.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Light gyümölcsjoghurtok>Danone YoPro banános sovány joghurt földimogyoró aromával, édesítőszerekkel 160 g",https://auchan.hu/shop/danone-yopro-banános-sovány-joghurt-földimogyoró-aromával-édesítőszerekkel-160-g.p-763970,g
763971,"Danone YoPro sovány joghurt áfonyával, édesítőszerekkel, magnéziummal és folsavval 160 g",317.00,317.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Light gyümölcsjoghurtok>Danone YoPro sovány joghurt áfonyával, édesítőszerekkel, magnéziummal és folsavval 160 g",https://auchan.hu/shop/danone-yopro-sovány-joghurt-áfonyával-édesítőszerekkel-magnéziummal-és-folsavval-160-g.p-763971,g
932977,"Danone YoPro sovány joghurt eperrel, édesítőszerekkel 160 g",395.00,395.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Light gyümölcsjoghurtok>Danone YoPro sovány joghurt eperrel, édesítőszerekkel 160 g",https://auchan.hu/shop/danone-yopro-sovány-joghurt-eperrel-édesítőszerekkel-160-g.p-932977,g
763969,"Danone YoPro sztracsatellaízű sovány joghurt édesítőszerekkel, magnéziummal és folsavval 160 g",395.00,395.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Light gyümölcsjoghurtok>Danone YoPro sztracsatellaízű sovány joghurt édesítőszerekkel, magnéziummal és folsavval 160 g",https://auchan.hu/shop/danone-yopro-sztracsatellaízű-sovány-joghurt-édesítőszerekkel-magnéziummal-és-folsavval-160-g.p-763969,g
827929,Danone Oikos élőflórás epres krémjoghurt 125 g,146.00,146.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Ízesített joghurtok>Danone Oikos élőflórás epres krémjoghurt 125 g",https://auchan.hu/shop/danone-oikos-élőflórás-epres-krémjoghurt-125-g.p-827929,g
827706,Danone Oikos élőflórás meggyes krémjoghurt 125 g,146.00,146.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Ízesített joghurtok>Danone Oikos élőflórás meggyes krémjoghurt 125 g",https://auchan.hu/shop/danone-oikos-élőflórás-meggyes-krémjoghurt-125-g.p-827706,g
929738,Zott Jogobella élőflórás joghurt 150 g,157.00,157.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Ízesített joghurtok>Zott Jogobella élőflórás joghurt 150 g",https://auchan.hu/shop/zott-jogobella-élőflórás-joghurt-150-g.p-929738,g
634905,Danone Oikos Édes Kettes élőflórás édesített joghurt eperszósszal 118 g,242.00,242.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Ízesített joghurtok>Danone Oikos Édes Kettes élőflórás édesített joghurt eperszósszal 118 g",https://auchan.hu/shop/danone-oikos-édes-kettes-élőflórás-édesített-joghurt-eperszósszal-118-g.p-634905,g
634904,Danone Oikos Édes Kettes élőflórás édesített joghurt meggyszósszal 118 g,242.00,242.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Ízesített joghurtok>Danone Oikos Édes Kettes élőflórás édesített joghurt meggyszósszal 118 g",https://auchan.hu/shop/danone-oikos-édes-kettes-élőflórás-édesített-joghurt-meggyszósszal-118-g.p-634904,g
871009,Danone Oikos Édes Kettes élőflórás édesített joghurt piros gyümölcsös szósszal 118 g,242.00,242.00,0,"Főoldal>Online áruház>Friss élelmiszer>Tejtermék, tojás, sajt>Joghurtok>Ízesített joghurtok>Danone Oikos Édes Kettes élőflórás édesített joghurt piros gyümölcsös szósszal 118 g",https://auchan.hu/shop/danone-oikos-édes-kettes-élőflórás-édesített-joghurt-piros-gyümölcsös-szósszal-118-g.p-871009,g
